,oficialista,opositor
importen,1,0
importó,2,2
imposibilidad,1,1
imposibilita,1,0
imposible,28,19
imposibles,3,0
imposiciones,0,2
imposición,2,1
impositiva,1,9
impositivas,0,2
impositivo,0,2
impostada,1,0
impostergable,0,1
impostor,1,0
impotencia,3,1
impotente,5,0
impotentes,2,0
impracticable,1,0
imprecisas,1,0
impredecible,1,0
impregnaban,1,0
impregnada,1,0
imprenta,13,2
impresa,1,0
imprescindible,2,6
imprescindibles,2,0
imprescriptibilidad,0,1
impresentables,1,0
impresionaba,1,0
impresionado,1,0
impresionante,11,1
impresionó,2,0
impresión,2,0
impresora,1,0
imprevisible,1,1
imprevisibles,1,1
imprevistamente,1,0
imprimen,1,0
imprimir,1,1
imprimía,1,0
improcedente,2,0
improductiva,0,1
improductividad,2,0
impronta,1,2
improperio,1,0
improvisados,1,0
impudorosamente,1,0
impudoroso,1,0
impuesta,2,0
impuesto,10,14
impuestos,7,23
impugna,1,0
impugnación,1,0
impugnado,1,0
impulsa,3,4
impulsaba,1,0
impulsadas,0,1
impulsado,2,0
impulsados,0,2
impulsan,1,0
impulsar,0,4
impulsaron,2,0
impulse,1,0
impulsen,0,1
impulsivo,0,1
impulso,7,0
impulsora,2,0
impulsores,1,0
impune,0,1
impunemente,1,2
impunes,1,0
impunidad,2,17
impusieron,2,0
impuso,1,2
imputación,0,5
imputada,0,1
imputado,0,1
imputados,0,1
imputar,0,1
imputara,0,1
impávidos,1,0
impúdico,1,0
impúdicos,1,0
imàgenes,1,0
imágenes,13,2
in,4,4
inaceptable,0,2
inadecuada,0,1
inadmisible,1,2
inadvertidas,1,0
inadvertido,2,0
inalcanzable,1,0
inalterable,0,1
inalterada,1,0
inalámbrico,1,0
inamovible,2,1
inamovilidad,0,1
inapropiadas,1,0
inasible,2,0
inaudita,0,1
inaugura,1,2
inauguraba,1,0
inauguración,4,4
inaugurado,2,1
inaugural,5,0
inaugurando,5,0
inaugurar,7,0
inaugurarlas,1,0
inauguraron,1,0
inauguró,6,0
inc,2,1
incalificable,1,0
incapaces,1,1
incapacidad,0,1
incapaz,2,1
incendiar,0,2
incendiario,1,0
incendiarlo,1,0
incendiaría,2,0
incendie,1,0
incendios,1,0
incentivando,1,0
incentivar,0,1
incentivo,0,1
incentivos,0,1
incertidumbre,4,7
incesante,5,0
incesantemente,2,0
incesantes,1,0
incide,0,1
incidencia,1,1
incidente,5,2
incidentes,1,0
incisivo,1,0
inciso,0,1
incitados,1,0
incitando,1,0
incitó,1,0
incivilizada,1,0
inclemente,1,0
inclinaba,1,0
inclinación,2,0
inclinada,1,0
inclinado,1,0
inclinados,1,0
inclinan,0,1
inclinaron,2,0
inclinarse,2,0
inclinaría,0,3
incline,0,1
inclino,1,0
inclinó,2,0
incluida,1,3
incluidas,0,2
incluido,2,3
incluidos,1,0
incluimos,1,0
incluir,3,5
incluiría,1,2
inclusiva,2,1
inclusive,3,5
inclusivo,0,2
inclusión,8,3
incluso,39,39
incluya,1,3
incluye,10,5
incluyen,0,5
incluyera,0,1
incluyeron,2,3
incluyó,5,1
incluí,1,0
incluía,3,0
incluían,1,0
incluídas,0,1
incluído,0,1
incobrables,0,1
incoherencia,0,1
income,0,1
incomible,1,0
incomparable,0,1
incompetencia,1,0
incompetente,0,1
incomprensible,1,2
incomunicada,1,0
incomunicado,1,0
incomunicó,1,0
inconcebible,3,0
inconclusa,2,0
inconclusas,0,1
incondicional,1,1
incondicionales,0,5
incondicionalidad,0,1
inconducta,1,0
inconfesable,2,0
inconfundibles,0,1
incongruencias,0,1
inconsciente,1,0
inconscientes,1,0
inconsistencias,0,3
inconsistente,1,0
inconstitucional,1,3
inconstitucionales,1,0
inconstitucionalidad,1,2
inconstitucionalmente,0,1
incontables,1,0
incontrastables,0,1
inconveniente,0,2
incorpora,2,0
incorporación,1,1
incorporada,1,0
incorporado,1,0
incorporamos,1,0
incorporan,0,1
incorporando,1,0
incorporar,1,3
incorporarla,1,0
incorporarlo,0,1
incorporarme,1,0
incorporándose,1,0
incorporó,1,0
incorrecta,0,1
incorrecto,1,0
incorregible,0,1
incremento,1,4
incrementó,0,2
increpaba,1,0
increíble,19,7
increíblemente,7,2
increíbles,3,0
incriminar,0,1
incrustada,1,0
incrustadas,1,0
incrustándose,1,0
incuestionable,1,0
incuestionablemente,1,0
inculcar,0,1
inculcó,2,0
incumbiera,1,0
incumple,0,1
incumplida,1,0
incumplidores,0,1
incumplimientos,0,1
incumplir,0,1
incumplió,0,1
incur,1,0
incurre,2,1
incurren,1,0
incurrido,0,1
incurrió,0,1
incógnita,0,5
incógnitas,0,1
incógnito,1,0
incómoda,1,0
incómodas,1,0
incómodo,3,0
indagado,1,1
indagar,1,0
indagaran,1,0
indagatoria,0,9
indagatorias,0,1
indalo,1,0
inde,1,0
indec,0,7
indeciso,0,1
indecisos,0,1
indefectiblemente,3,0
indefensa,1,1
indefinida,0,1
indefinidamente,0,1
indemne,1,0
indemnizaciones,0,1
indemnización,2,3
independencia,12,13
independiente,15,10
independientemente,0,2
independientes,3,11
indescifrable,0,1
indescriptible,1,0
indeseables,1,0
indeseadas,1,0
indeseados,0,2
indetenible,1,0
indeterminada,0,1
india,1,1
indiana,0,1
indias,0,3
indica,10,4
indicaba,2,0
indicaban,1,2
indicación,1,0
indicada,2,0
indicadores,0,7
indican,0,1
indicando,1,0
indicaron,2,0
indicativo,0,1
indicio,1,0
indicios,2,0
indicó,4,2
indiferencia,4,3
indiferente,0,1
indiferentemente,2,0
indiferentes,0,3
indigna,6,1
indignaban,2,0
indignación,5,2
indignados,9,0
indignan,2,0
indignas,1,0
indignidad,1,1
indigné,1,0
indio,2,0
indios,1,2
indirecta,0,3
indirecto,1,0
indisciplina,2,0
indiscriminada,0,1
indiscriminadamente,1,0
indiscutible,0,8
indiscutida,0,1
indisimulable,1,0
indispensable,3,5
indispensables,1,1
indistintamente,1,0
individuación,1,0
individual,9,1
individuales,3,1
individualidad,1,0
individualista,1,0
individuo,2,0
individuos,3,1
indolencia,0,1
indolente,0,1
indomable,2,0
inducen,1,0
inducidos,1,0
indudablemente,0,6
indultado,1,0
indulto,0,1
indultos,0,1
indumentaria,1,0
industria,2,8
industrial,1,1
industriales,1,2
industrialista,1,0
industrias,3,1
ineficaz,1,0
ineficiencia,0,4
ineficiente,5,0
ineficientes,0,3
ineludiblemente,0,1
inentendible,0,2
ineptitud,0,1
ineptos,0,1
inequidades,1,1
inequívocamente,1,0
inerte,1,0
inescrupulosos,0,1
inespecífico,1,0
inesperada,2,0
inesperadamente,3,0
inesperado,6,2
inestabilidad,1,1
inestable,1,1
inevitable,8,5
inevitablemente,6,0
inevitables,0,1
inexistente,0,1
inexistentes,1,1
inexorable,0,1
inexplicable,1,1
inexplicables,0,2
inexpugnable,0,1
infaltables,1,0
infamar,1,0
infame,2,0
infames,1,0
infamia,3,0
infamias,0,1
infancia,14,1
infancias,1,0
infantería,1,0
infantil,5,2
infantiles,2,0
infantilismo,0,3
infectado,0,2
infectados,0,1
inferior,3,0
inferioridad,2,0
inferir,0,1
infernal,2,0
infernales,1,0
infieles,2,3
infiere,1,0
infierno,3,2
infiernos,0,1
infiltración,0,1
infiltrada,0,1
infiltradas,0,1
infiltrado,1,0
infiltrados,0,1
infiltrándose,1,0
infiltró,2,0
infinita,0,1
infinitamente,2,0
infinito,1,0
infinitos,0,1
infla,0,1
inflacion,1,0
inflacionario,0,4
inflacionarios,0,1
inflación,7,58
infladas,1,0
inflados,0,1
inflamada,2,0
inflando,1,0
inflexibles,2,0
inflexiones,2,0
influencia,5,1
influenciados,0,1
influencias,2,1
influido,1,0
influidos,0,1
influir,2,1
influyen,1,0
influyendo,1,0
influyente,1,2
influyentes,2,0
infobae,1,0
infografía,0,1
informa,1,1
informaba,2,0
informacion,1,0
información,33,25
informada,1,0
informado,2,0
informados,3,1
informal,0,1
informante,1,0
informar,1,1
informara,1,0
informarle,0,1
informarme,0,1
informaron,1,0
informarse,1,0
informativa,1,0
informativo,1,0
informativos,1,0
informe,9,16
informes,4,1
informática,1,2
informático,0,1
informáticos,1,1
informó,1,3
infortunado,1,0
infractores,0,1
infraestructura,1,4
infranqueables,1,0
infrecuente,2,0
infundados,1,0
infunden,1,0
ingenierizara,0,1
ingeniero,3,3
ingenieros,4,0
ingeniería,0,3
ingenio,5,0
ingeniosa,1,0
ingeniosas,0,1
ingenioso,1,0
ingenié,1,0
ingenió,1,0
ingenua,1,1
ingenuidad,3,0
ingenuo,4,2
ingenuos,1,5
inglaterra,2,1
ingleses,3,0
inglés,0,1
ingmar,1,0
ingnorante,0,1
ingobernable,2,0
ingredientes,1,1
ingresa,0,3
ingresaba,1,1
ingresado,0,5
ingresan,0,1
ingresantes,1,0
ingresar,2,4
ingresara,0,2
ingresaron,2,5
ingresará,1,0
ingresen,0,1
ingreso,8,7
ingresos,3,9
ingresó,3,2
inhabilita,1,0
inhabilitación,2,0
inhabilitado,1,0
inherentes,0,1
inicia,0,2
iniciado,3,3
inicial,0,2
iniciales,2,0
iniciar,1,1
iniciarle,0,2
iniciaron,2,0
iniciativa,2,9
iniciativas,2,3
inicio,2,3
iniciático,0,1
inició,5,0
inimaginable,1,0
inimaginables,1,0
injerencia,1,1
injerto,0,1
injuria,4,0
injuriada,2,0
injuriador,0,1
injuriadora,0,1
injuriosas,1,0
injurió,1,0
injusta,2,1
injustas,0,1
injusticia,6,4
injusticias,1,1
injustificable,0,1
injusto,7,1
inmanente,1,0
inmediata,2,4
inmediatamente,10,4
inmediatez,1,1
inmediato,6,11
inmediatos,0,1
inmejorable,1,2
inmemoriales,0,1
inmensa,7,3
inmensamente,0,1
inmensas,1,2
inmensidad,0,1
inmenso,1,0
inmersiones,1,0
inmersión,2,0
inmersos,4,0
inmigración,0,1
inmigrante,1,0
inmigrantes,3,1
inminencia,1,0
inminente,5,1
inminentes,1,0
inmiscuirse,1,0
inmiscuyan,1,0
inmobiliaria,0,5
inmobiliarias,0,4
inmobiliario,0,1
inmobiliarios,4,0
inmorales,1,2
inmoralidad,0,2
inmuebles,1,0
inmundicias,2,0
inmunidad,0,2
inmuta,1,0
inmutables,0,1
inmutarse,1,1
inmóvil,1,0
innato,1,0
innecesarias,1,0
innecesario,0,2
innecesarios,0,1
innegable,0,1
innegociables,1,0
innoble,2,0
innova,1,0
innovaciones,0,2
innovación,1,0
innovador,0,2
innumerable,1,0
innumerables,3,0
inobjetables,0,1
inocencia,1,3
inocente,3,2
inocentes,0,3
inocular,0,1
inocultables,1,0
inoculó,1,0
inocuo,1,0
inolvidable,2,1
inquieta,0,1
inquietante,0,5
inquietantes,0,1
inquiete,1,0
inquietos,0,1
inquietud,0,3
inquietudes,0,2
inquietó,1,0
inquilina,0,1
inquilino,1,2
inquilinos,1,0
inquina,0,1
inquisición,1,0
insaciable,1,0
insalvables,0,1
insatisfacciones,2,0
insatisfecha,0,1
insatisfechos,1,0
insaurralde,0,2
inscribe,0,1
inscribiera,1,0
inscribirse,3,0
inscribió,1,0
inscribí,1,0
inscribía,1,0
inscripta,2,0
inscripto,0,1
inscriptos,2,0
insegura,0,1
inseguridad,3,31
insensible,1,0
insertaba,1,0
insertarme,0,1
inserto,0,1
insertos,1,1
insfran,0,1
insfrán,1,0
insidias,2,0
insignia,1,0
insignificante,1,0
insinuaba,3,0
insinuado,1,0
insinuó,1,0
insinúa,1,0
insistamos,3,0
insistan,0,1
insiste,5,7
insisten,5,0
insistencia,8,2
insistentemente,1,0
insistentes,3,0
insistiendo,0,1
insistieron,2,0
insistimos,2,0
insistir,4,1
insistiría,1,0
insistió,3,4
insisto,3,8
insistí,1,0
insistía,6,0
insistían,5,0
insolente,1,0
insolubles,1,0
insomnio,2,0
insoportable,5,0
insoslayable,2,0
insospechadas,1,0
insostenible,0,2
inspecciones,0,1
inspección,2,4
inspira,0,1
inspiraba,1,0
inspiración,1,0
inspirada,1,0
inspirador,1,0
inspiran,1,0
inspire,1,0
instado,1,0
instagram,1,0
instala,1,0
instalaba,3,0
instalaciones,1,1
instalación,2,0
instalada,2,1
instalado,0,3
instalador,0,1
instalan,0,1
instalar,9,7
instalara,1,0
instalaron,1,2
instalarse,2,0
instale,1,0
instaló,3,7
instamos,1,0
instancia,2,9
instancias,1,4
instante,7,0
instantes,2,0
instantánea,1,0
instantáneamente,1,0
instar,1,0
instatisfacción,1,0
instauración,1,0
instaure,1,0
insti,1,0
instigaciones,1,0
instigan,1,0
instigará,1,0
instigue,2,0
instinto,1,2
institucional,10,21
institucionales,2,5
institucionalidad,1,0
institucionalizaba,1,0
institucionalmente,2,0
instituciones,4,10
institución,4,0
instituto,1,5
instituyeron,0,1
instituyó,0,1
instrucción,2,5
instructores,1,0
instruir,0,1
instrumentación,1,0
instrumentando,0,1
instrumentar,1,1
instrumento,6,5
instrumentos,2,0
insuficiente,0,1
insultaba,1,0
insultado,3,0
insultando,0,1
insultante,2,0
insultantes,1,0
insultar,4,0
insultarla,1,0
insultarán,1,0
insulte,3,0
insulten,1,0
insultes,1,0
insulto,2,0
insultos,8,1
insumos,0,1
insuperable,1,0
insurgencia,2,0
insustituible,1,1
insólita,1,0
insólitas,1,2
insólito,0,1
inta,1,0
intachable,1,0
intacta,0,1
intactas,0,1
intactos,1,0
integra,1,0
integraba,2,0
integración,2,2
integrada,2,2
integrado,2,1
integrados,3,1
integral,0,4
integrales,0,1
integramos,0,1
integran,2,2
integrando,1,1
integrante,3,5
integrantes,3,8
integrar,4,1
integraran,1,0
integrarlos,1,0
integraron,2,0
integren,1,0
integridad,1,2
integrándolo,1,0
integré,0,1
integró,2,0
intelecto,1,0
intelectual,22,10
intelectuales,14,9
intelectualmente,2,0
inteligencia,19,10
inteligente,21,5
inteligentes,4,2
inteligible,1,0
intencionada,1,0
intencionadamente,1,0
intencional,0,1
intencionalidad,0,2
intenciones,1,2
intención,9,14
intendencia,8,2
intendenta,2,0
intendente,11,23
intendentes,6,14
intensa,8,1
intensamente,2,2
intensas,3,0
intensidad,2,1
intensificación,1,0
intenso,5,1
intensos,1,0
intenta,6,5
intentaba,1,0
intentaban,1,0
intentado,2,2
intentamos,1,0
intentan,1,2
intentando,2,4
intentar,5,8
intentara,2,0
intentarlo,2,0
intentaron,2,2
intentará,0,1
intente,1,3
intentemos,0,1
intenten,0,1
intententes,0,1
intento,14,14
intentos,3,2
intenté,1,0
intentó,4,5
interactuaba,0,2
interamericana,0,9
interamericano,2,3
intercala,1,0
intercalando,0,1
intercambiando,1,0
intercambiar,1,0
intercambio,4,6
intercambios,3,0
intercambiábamos,1,0
intercambiándose,1,0
interceptado,1,0
interceptados,1,0
interceptó,1,0
interesa,10,4
interesaba,3,0
interesaban,1,2
interesada,0,1
interesadamente,0,2
interesado,0,1
interesados,1,1
interesan,2,1
interesante,5,11
interesantes,3,1
interesar,0,1
interesarles,2,0
interesarme,1,0
intereses,39,11
interesó,3,0
intergalácticas,0,2
interino,1,0
interior,24,12
interiores,0,1
interiorizarme,1,0
interlocutor,6,3
interlocutores,3,1
intermediación,0,1
intermediario,0,1
intermediarios,0,1
intermedio,0,1
interminable,0,2
interminables,5,0
intermitencia,2,0
intermitentemente,1,0
interna,9,12
internacional,12,25
internacionales,1,13
internacionalizando,0,1
internación,1,1
internada,1,0
internamente,1,1
internarlos,0,1
internaron,1,0
internarse,2,0
internas,4,7
international,0,1
internet,11,3
internino,0,2
internismo,1,0
interno,7,6
internos,3,3
interpela,1,0
interpelación,3,0
interpelados,1,0
interpelan,1,0
interpone,1,0
interponía,1,0
interponían,1,0
interpreta,2,0
interpretaba,2,0
interpretaciones,3,2
interpretación,8,11
interpretado,1,0
interpretan,0,1
interpretando,1,0
interpretar,0,5
interprete,0,1
interpretó,0,3
interrogante,0,2
interrogantes,0,4
interrumpe,3,0
interrumpida,1,0
interrumpido,1,1
interrumpir,1,0
interrumpirlos,1,0
interrumpía,2,0
interrumpían,1,0
interrupción,2,0
intervenciones,4,1
intervencionismo,2,0
intervención,2,6
intervenidas,0,1
intervenido,0,1
intervenir,1,5
interventor,2,1
intervenía,2,0
interviene,2,0
intervienen,0,1
interviniendo,0,1
interviniente,0,2
intervino,2,4
interés,8,14
intestinal,1,0
intestinos,1,0
intimidad,3,1
intimidades,1,0
intimidar,1,0
intimidaron,2,0
intocable,1,0
intocables,0,1
intolerable,2,1
intolerancia,1,1
intoxica,1,0
intranquilidad,0,1
intransigencia,0,2
intrascendencia,0,1
intrascendentes,1,0
intrigaba,3,0
intrigarme,1,0
intrigas,1,0
intrincada,0,1
intrincadas,1,0
introducida,1,0
introducido,0,1
introducir,1,0
introductorio,1,0
introdujo,2,0
introspección,0,1
introvertida,1,0
intrusión,4,0
intruso,2,0
intríngulis,1,0
intuición,0,1
intuitiva,0,1
intuye,0,1
intuyen,1,0
intuyendo,0,1
intuyo,1,0
intuyó,1,0
intuía,1,0
intuían,0,1
intérpretes,1,1
inundaba,2,0
inundaciones,2,1
inundación,1,0
inundados,2,2
inundar,0,1
inundaron,1,1
inunden,1,0
inusitada,2,0
inusitadas,3,0
inusual,1,3
inutiles,2,0
invadidas,1,0
invadiera,1,0
invariablemente,0,1
invasión,2,1
invasores,1,0
invencibilidad,0,2
invencible,2,3
invencibles,1,0
inventa,2,1
inventaba,2,0
inventaban,1,1
inventada,0,1
inventado,1,0
inventan,2,1
inventar,1,0
inventario,0,1
inventaron,0,1
inventarse,3,0
invento,2,3
inventos,1,1
inventó,1,0
invernáculos,1,0
inverosímil,0,1
inverosímilmente,1,0
inversa,1,0
inversiones,1,17
inversión,0,14
inversor,0,1
inversores,1,4
invertida,0,1
invertidos,1,0
invertir,4,1
invertían,1,0
investidura,0,1
investiga,2,5
investigaba,1,1
investigacion,1,0
investigaciones,0,10
investigación,11,27
investigada,0,2
investigadas,0,1
investigado,1,3
investigadora,2,0
investigadores,4,0
investigados,0,1
investigan,0,1
investigando,0,1
investigar,1,20
investigarla,1,1
investigarlo,0,1
investigue,1,2
investiguen,0,1
investigábamos,0,1
investigó,0,1
investirle,1,0
inviables,1,1
invicto,0,1
invictos,0,2
invierno,2,0
invierte,0,2
invierten,0,1
inviolable,1,0
invirtieron,1,0
invisibilidad,0,1
invisibilizaron,2,0
invisible,3,1
invisibles,3,0
inviste,1,0
invita,3,0
invitaba,1,0
invitaban,1,0
invitaciones,1,0
invitación,10,0
invitada,1,2
invitadas,1,0
invitado,2,6
invitados,3,0
invitan,1,0
invitara,1,0
invitarla,0,1
invitaron,1,0
invitó,4,0
invocaban,1,0
involucra,1,4
involucrada,1,2
involucradas,0,1
involucrado,1,2
involucrados,3,0
involucramiento,0,1
involucran,0,2
involucren,0,1
involucró,0,1
involuntarios,1,0
inyectaron,0,1
inédita,0,2
inéditas,0,1
inédito,3,3
inés,1,0
inútil,2,2
inútiles,0,3
ios,1,0
ipc,1,0
iproductibles,1,0
ir,60,40
ira,1,2
iracundia,1,0
irak,1,2
iraní,0,3
iraola,1,0
iremos,1,1
iria,1,0
irigoyen,1,0
irlandés,0,1
ironizó,1,1
ironía,2,2
ironías,0,1
irracional,2,1
irracionalidad,0,3
irrazonable,1,0
irrazonables,1,0
irreconciliables,0,1
irrecuperable,2,0
irrecuperables,2,0
irrefutable,4,0
irregular,0,1
irregulares,0,1
irregularidad,0,1
irregularidades,0,4
irrelevante,1,0
irreligiosidad,0,1
irremediables,1,0
irreparable,1,1
irreprochables,1,0
irresolubles,2,0
irrespetar,0,1
irrespetuoso,0,1
irrespirable,2,1
irresponsabilidad,0,3
irresponsable,2,4
irresponsables,2,0
irrestricto,0,1
irresuelta,0,1
irresuelto,1,0
irreverentes,2,0
irreversible,2,2
irreversibles,3,0
irrita,3,2
irritaba,2,0
irritable,1,0
irritación,2,0
irritar,0,1
irrumpe,1,1
irrumpir,1,0
irse,14,8
irurzun,0,1
irurzún,0,2
irá,1,4
irán,2,16
iría,5,3
irían,1,0
irónicamente,1,0
irónico,1,1
isabel,7,2
isabelita,2,0
ishi,0,1
isidro,4,0
isla,4,1
islam,1,2
islandia,1,0
islas,2,1
islote,2,0
islámico,0,3
israel,2,3
israelí,1,0
israelíes,1,0
italia,2,11
italiana,0,3
italiano,0,1
itinerario,0,1
itzcoatl,0,2
iv,1,0
iva,0,2
ivan,0,1
ivanoff,1,0
izquierda,45,7
izquierdas,1,0
jaber,0,2
jack,0,1
jacobo,0,2
jacobson,0,1
jacques,1,0
jacta,2,3
jactancia,1,0
jactanciosos,1,0
jactándose,1,0
jaime,2,7
jaleo,1,0
jamas,0,2
jamás,25,10
japonesa,2,0
japonés,1,0
japón,0,1
jaque,1,0
jaqueada,0,1
jardinera,1,0
jardines,0,1
jardín,4,0
jarras,1,0
jarritos,1,0
jau,1,0
jaula,0,2
jauretche,5,0
jauría,0,3
javier,0,2
jazz,0,1
jean,1,1
jefa,19,57
jefatura,5,2
jefe,31,65
jefes,2,7
jerarquía,3,1
jerga,1,0
jeroglífico,1,0
jerárquico,1,0
jerárquicos,0,1
jesuita,0,1
jet,1,0
jmnc,1,0
jo,1,0
joaquín,0,8
jocoso,1,0
joda,6,1
jodan,5,0
jodas,1,0
jode,0,3
joder,4,0
joderlo,1,1
jodidamente,1,0
jodido,2,0
jodidos,1,0
jodiendo,2,0
jodón,2,0
johanson,1,0
johansson,2,0
john,6,2
jorge,24,34
jornada,5,0
jornadas,3,0
jose,0,6
josecito,0,1
joseph,6,0
josé,39,36
jotapé,11,0
jova,2,0
joven,34,8
jovencita,4,0
joyas,0,1
jozami,1,1
jp,17,1
jtp,2,0
ju,0,1
juan,40,29
juana,1,3
jubilaciones,1,0
jubilación,0,3
jubilado,1,2
jubilados,5,5
jubilaron,1,0
jubilarse,1,1
jubilatorias,1,0
jubilatorio,1,0
judicial,25,54
judiciales,1,9
judicialización,0,1
judicializados,0,1
judicializando,0,1
judicialmente,0,1
judía,2,4
judías,1,0
judío,1,2
judíos,1,0
jueces,6,50
juega,7,4
juegan,2,5
juego,21,36
juegos,2,0
juegue,0,2
jueguen,1,0
jueguito,2,0
jueves,3,11
juez,27,91
jueza,1,5
jugaba,2,0
jugaban,3,3
jugada,1,7
jugadas,0,1
jugado,3,1
jugador,2,2
jugadora,2,1
jugadores,6,1
jugamos,1,0
jugando,7,8
jugar,4,3
jugarla,0,1
jugos,1,0
juguete,1,0
jugábamos,2,0
jugó,5,2
juicio,13,20
juicios,5,6
jujeño,1,1
jujuy,4,1
julia,0,3
julian,0,1
juliana,0,3
julio,27,34
julián,1,7
jumper,1,0
juncal,7,0
junin,1,0
junio,19,8
junio2014,0,1
juniors,0,3
junta,2,1
juntaban,2,0
juntada,1,0
juntado,1,0
juntamos,1,0
juntar,1,1
juntaron,2,0
juntarse,1,0
juntarían,1,0
juntas,10,2
junten,0,1
juntillas,0,1
junto,28,15
juntos,29,5
junté,1,0
juntó,0,1
junín,3,0
jup,2,0
jura,3,2
jurada,4,2
juradas,5,0
juramento,1,0
juran,0,1
jurar,2,0
jurisdiccionales,0,1
jurisdicciones,0,1
jurisdicción,1,2
jurisprudencia,0,2
jurista,0,4
juristas,0,1
jury,1,0
jurídica,4,3
jurídicas,1,1
jurídico,6,4
jurídicos,2,4
juró,0,1
justa,5,2
justamente,4,24
justas,1,1
justicia,40,98
justicialismo,1,2
justicialista,10,5
justiciera,0,1
justificaba,1,0
justificaban,1,0
justificaciones,2,0
justificación,1,1
justificadamente,1,0
justificado,1,0
justificados,2,0
justifican,1,0
justificar,3,8
justificara,0,2
justificarlo,1,1
justificarme,0,1
justificará,1,0
justificativo,1,0
justificó,0,1
justifique,1,0
justifiquen,0,1
justo,23,8
justos,2,0
juvenil,2,2
juveniles,4,0
juvenilia,2,0
juventud,29,7
juventudes,1,3
juzga,1,0
juzgada,0,1
juzgado,5,6
juzgados,2,2
juzgar,1,2
juzgarían,1,0
jóven,1,1
jóvenes,52,23
júbilo,3,0
kafkiana,1,0
kakas,1,0
karcher,0,4
karina,0,1
kathryn,1,0
katopodis,0,1
kennedy,0,2
kermesse,0,1
ketchup,1,0
keynes,1,1
keynesianas,1,0
kichnerismo,0,1
kicillof,13,27
kicilloff,0,1
kilo,0,2
kilombo,2,0
kilometros,1,0
kilos,1,10
kilómetro,1,1
kilómetros,8,1
kiosco,0,1
kirchenrsita,0,1
kircherismo,0,1
kirchner,196,179
kirchnerato,0,5
kirchnerismno,0,1
kirchnerismo,52,78
kirchnerista,28,18
kirchneristas,7,10
kircneristas,1,0
kk,2,0
klein,2,0
km,0,1
kohan,0,1
kollman,0,1
kosteki,1,0
kreplak,0,1
krieger,0,1
kukas,1,0
kunkel,13,1
kurdos,0,2
kuto,1,0
laberinto,0,1
labia,1,0
labilidad,1,0
labolita,3,0
labor,2,2
laboral,4,1
laborales,4,1
laboratorio,1,0
laboratorios,0,2
laboriosidad,1,0
laborista,0,1
laboristas,0,1
labriegos,1,0
laburaba,1,0
laburan,2,0
laburando,0,1
laburar,3,0
laburarse,1,0
laburo,2,0
laca,1,0
lacayos,1,0
lacerantes,1,0
laclau,0,2
lacraaas,1,0
lacras,1,0
lactobacilos,1,0
ladeaba,2,0
ladeados,1,0
laden,0,1
ladero,0,1
lado,84,35
lados,6,3
ladrarle,1,0
ladraría,1,0
ladrillo,4,0
ladrillos,1,0
ladrones,6,1
ladrón,0,6
lago,1,1
lagos,0,1
lagrimeó,1,0
lai,1,0
lalo,2,0
lamborghini,1,0
lamenta,1,1
lamentable,1,5
lamentablemente,2,16
lamentarse,1,0
lamento,1,2
lamentó,0,3
lan,0,2
lanacion,1,0
lanara,0,2
lanata,10,36
lanatismo,1,0
lanatta,0,12
lance,1,0
lancha,1,0
langostinos,1,0
lanusse,20,0
lanza,3,1
lanzaba,4,0
lanzada,2,0
lanzado,1,0
lanzamiento,2,1
lanzan,1,0
lanzando,1,0
lanzar,4,0
lanzaron,1,1
lanzará,0,2
lanzo,0,1
lanzó,3,4
lapicera,5,2
lapidaria,0,1
lapidarias,0,1
lapidario,0,1
lapso,0,1
larga,16,2
largaban,1,0
largamente,3,1
largara,0,1
largaron,1,0
largarse,2,0
largas,5,1
large,1,0
largo,39,17
largos,2,2
larguísima,1,0
larguísimas,1,0
largás,1,0
largó,3,0
larreta,3,1
larroque,11,3
larvada,1,0
larvarias,1,0
larvas,1,0
laserre,1,0
lastiri,2,0
lastre,0,1
lata,0,2
late,4,0
latente,2,1
latentes,1,1
lateral,2,0
lateralidad,2,0
latido,1,0
latifundio,1,0
latigazo,2,0
latigazos,0,1
latiguillo,1,0
latiguillos,1,0
latin,2,1
latina,21,6
latinoamericana,1,0
latinoamericanas,1,0
latinoamericanismo,2,0
latinoamericano,5,1
latinoamericanos,11,2
latinoamérica,1,6
latitud,1,0
laudatoriamente,0,1
laureles,1,0
lava,2,0
lavables,0,1
lavada,4,0
lavado,8,8
lavadores,0,1
lavagna,1,10
lavar,2,3
lavaron,0,2
lavarse,2,1
lave,1,0
lavándose,1,0
laxitud,0,3
laya,1,0
lazaro,0,1
lazos,3,0
leading,0,3
leal,2,5
leales,0,5
lealtad,5,8
lealtades,1,0
leamos,0,1
leandro,0,7
lección,1,4
leche,5,4
lechería,0,1
lechuga,2,0
lector,11,3
lectorado,0,1
lectoras,1,0
lectores,6,2
lectura,8,7
lecturas,5,1
lee,12,3
leemos,1,2
leen,3,2
leer,32,14
leerla,2,3
leerlo,0,1
leerlos,1,0
leerme,2,0
leerse,2,0
leerá,2,0
legado,3,1
legal,12,16
legales,2,6
legalidad,0,4
legalización,1,0
legalizar,1,0
legalizaría,0,1
legalmente,2,2
legendario,0,1
legislador,3,4
legisladora,9,0
legisladoras,1,0
legisladores,6,11
legislar,2,0
legislativa,3,1
legislativas,2,3
legislativo,2,3
legislativos,1,1
legislatura,0,1
legitimación,2,0
legitimadas,1,0
